threshold,silhouette_score,n_clusters
50,0.2099063484425714,110
70,0.20654188962832634,72
90,0.24146468976739877,53
110,0.23040278395911648,37
130,0.2407405515798144,32
150,0.23997402779995702,24
170,0.2258316996857456,20
190,0.23172724956455593,19
210,0.23292935976202003,16
230,0.23306119459123714,15
250,0.21983219354007083,13
270,0.23655840563660674,12
290,0.24770535670602248,11
310,0.24770535670602248,11
330,0.2327796335926812,10
350,0.22909315051265483,9
370,0.21851981926062528,8
390,0.21851981926062528,8
410,0.2101804860308105,7
430,0.19922834866944636,6
450,0.19922834866944636,6
470,0.1748314469975555,5
490,0.15024592253556915,4
