MofName,CO2Fraction,GCMC_IAST_N2_R2,GCMC_IAST_N2_MAPE,ML_N2_R2,ML_N2_MAPE,ML_IAST_N2_R2,ML_IAST_N2_MAPE,MLPure_IAST_N2_R2,MLPure_IAST_N2_MAPE,GCMC_IAST_CO2_R2,GCMC_IAST_CO2_MAPE,ML_CO2_R2,ML_CO2_MAPE,ML_IAST_CO2_R2,ML_IAST_CO2_MAPE,MLPure_IAST_CO2_R2,MLPure_IAST_CO2_MAPE,ML_S_MAPE,GCMC_IAST_S_MAPE,ML_IAST_S_MAPE,MLPure_IAST_S_MAPE
ddmof_1008,0.000000,0.999906,0.014861,0.999803,0.016495,0.999870,0.011642,0.999448,0.044927,,,,,,,,,,,,
ddmof_1008,0.100000,0.999725,0.019700,0.998984,0.025131,0.955670,0.145594,0.998956,0.052682,0.958516,0.294980,0.430255,0.597089,0.557851,0.771038,0.952108,0.161612,0.626868,0.284780,1.063819,0.137939
ddmof_1008,0.150000,0.999167,0.021310,0.997551,0.028431,0.941253,0.168236,0.997688,0.054773,0.975033,0.278715,0.547453,0.550810,0.612149,0.660398,0.926642,0.177478,0.585805,0.266584,0.989870,0.162371
ddmof_1008,0.200000,0.998896,0.019771,0.997634,0.020886,0.933814,0.178572,0.997176,0.046557,0.984715,0.261522,0.680002,0.507672,0.662399,0.591002,0.917258,0.179858,0.527368,0.254586,0.922190,0.181329
ddmof_1008,0.300000,0.997951,0.025656,0.994383,0.032334,0.918274,0.201944,0.995149,0.058801,0.990715,0.221385,0.771234,0.515312,0.710281,0.581179,0.899306,0.156367,0.561415,0.215868,0.971748,0.153673
ddmof_1008,0.400000,0.996337,0.025687,0.995402,0.028828,0.902923,0.214212,0.992526,0.061942,0.994839,0.205985,0.846822,0.452869,0.759652,0.498428,0.904707,0.171002,0.495903,0.208912,0.904358,0.197805
ddmof_1008,0.500000,0.995577,0.028829,0.992756,0.029837,0.891097,0.223336,0.991025,0.060472,0.995386,0.185423,0.874616,0.440695,0.804508,0.488019,0.917040,0.158976,0.463622,0.196587,0.890108,0.200650
ddmof_1008,0.600000,0.992950,0.031083,0.989298,0.034673,0.873487,0.232215,0.987404,0.068839,0.996443,0.170599,0.897573,0.436157,0.846361,0.467669,0.933870,0.151091,0.475616,0.184089,0.905186,0.198502
ddmof_1008,0.700000,0.992050,0.038844,0.988596,0.040790,0.861536,0.241970,0.986048,0.074451,0.995716,0.184311,0.919165,0.348586,0.877028,0.382162,0.946481,0.159019,0.379706,0.199381,0.821737,0.203793
ddmof_1008,0.800000,0.989134,0.041996,0.990852,0.031053,0.843959,0.247061,0.982477,0.073995,0.997981,0.143514,0.938480,0.405334,0.914760,0.434194,0.966213,0.131402,0.414641,0.168093,0.880986,0.206002
ddmof_1008,0.900000,0.987084,0.045650,0.998263,0.026680,0.829319,0.252382,0.980179,0.078893,0.998926,0.133149,0.945053,0.389851,0.939998,0.414304,0.977931,0.133966,0.380549,0.155151,0.880033,0.204715
ddmof_1008,1.000000,,,,,,,,,0.998798,0.126080,0.955548,0.373658,0.956055,0.404211,0.984224,0.116312,,,,
ddmof_10387,0.000000,0.999740,0.015201,0.999088,0.017515,0.999090,0.020750,0.999113,0.023259,,,,,,,,,,,,
ddmof_10387,0.100000,0.999767,0.014907,0.998103,0.022529,0.995942,0.030181,0.999884,0.021439,0.994822,0.137075,0.912920,0.154448,0.992357,0.066673,0.989566,0.075616,0.170230,0.127285,0.072482,0.058523
